id,quid,question,answer,answer_type,choices,answer_word,facts
1,,"Take the last letters of each words in ""Camilo Becky Eliza Rebecca"" and concatenate them.",oyaa,TEXT,,,
2,,"Take the last letters of each words in ""Sandeep Graciela Jai Xiomara"" and concatenate them.",paia,TEXT,,,
3,,"Take the last letters of each words in ""Norma Timothy Willie Mathew"" and concatenate them.",ayew,TEXT,,,
4,,"Take the last letters of each words in ""Lorena Shana Priscilla Summer"" and concatenate them.",aaar,TEXT,,,
5,,"Take the last letters of each words in ""Yazmin Lea Rodrigo Sammy"" and concatenate them.",naoy,TEXT,,,
6,,"Take the last letters of each words in ""Britt Tamara Elvis Nayeli"" and concatenate them.",tasi,TEXT,,,
7,,"Take the last letters of each words in ""Paula Irina Laurel Maribel"" and concatenate them.",aall,TEXT,,,
8,,"Take the last letters of each words in ""Louise Mariano Laura Gerardo"" and concatenate them.",eoao,TEXT,,,
9,,"Take the last letters of each words in ""Ramona Lucy Gail Octavio"" and concatenate them.",aylo,TEXT,,,
10,,"Take the last letters of each words in ""Star Jude Rosemarie Raquel"" and concatenate them.",reel,TEXT,,,
11,,"Take the last letters of each words in ""Amy Ella Amilcar Roman"" and concatenate them.",yarn,TEXT,,,
12,,"Take the last letters of each words in ""Evan Ray Sofia Alonso"" and concatenate them.",nyao,TEXT,,,
13,,"Take the last letters of each words in ""Janette Stacey Ronny Kim"" and concatenate them.",eyym,TEXT,,,
14,,"Take the last letters of each words in ""Alina Alessandra Amina Bianca"" and concatenate them.",aaaa,TEXT,,,
15,,"Take the last letters of each words in ""Leigh Mindy Rocky Lex"" and concatenate them.",hyyx,TEXT,,,
16,,"Take the last letters of each words in ""Drew Jhon Jayden Cliff"" and concatenate them.",wnnf,TEXT,,,
17,,"Take the last letters of each words in ""Meagan Naomi Israel Marie"" and concatenate them.",nile,TEXT,,,
18,,"Take the last letters of each words in ""Tiara Araceli Michaela Genaro"" and concatenate them.",aiao,TEXT,,,
19,,"Take the last letters of each words in ""Sonya Eddy Carol Yung"" and concatenate them.",aylg,TEXT,,,
20,,"Take the last letters of each words in ""Marcy Gonzalez Alice Arlene"" and concatenate them.",yzee,TEXT,,,
21,,"Take the last letters of each words in ""Alonzo Dorothy Alfred Rodriguez"" and concatenate them.",oydz,TEXT,,,
22,,"Take the last letters of each words in ""Dorian Mayra Freddie Magaly"" and concatenate them.",naey,TEXT,,,
23,,"Take the last letters of each words in ""Tori Mariam Gaby Brayan"" and concatenate them.",imyn,TEXT,,,
24,,"Take the last letters of each words in ""Maritza Nana Loretta Eric"" and concatenate them.",aaac,TEXT,,,
25,,"Take the last letters of each words in ""Mercedes Adela Susana Rose"" and concatenate them.",saae,TEXT,,,
26,,"Take the last letters of each words in ""Claudia Cole Matthew Juan Pablo"" and concatenate them.",aewo,TEXT,,,
27,,"Take the last letters of each words in ""Kali Jeanette Tess Devin"" and concatenate them.",iesn,TEXT,,,
28,,"Take the last letters of each words in ""Jacky Socorro Mark Wanda"" and concatenate them.",yoka,TEXT,,,
29,,"Take the last letters of each words in ""Rosie Charlie Mick Jacquelyn"" and concatenate them.",eekn,TEXT,,,
30,,"Take the last letters of each words in ""Andrés Miles Ronaldo Melinda"" and concatenate them.",ssoa,TEXT,,,
31,,"Take the last letters of each words in ""Selina Tasha Jarrod Maddy"" and concatenate them.",aady,TEXT,,,
32,,"Take the last letters of each words in ""Noelia Cassidy Ashok Francisco"" and concatenate them.",ayko,TEXT,,,
33,,"Take the last letters of each words in ""Anastasia Thelma Sheri Rosita"" and concatenate them.",aaia,TEXT,,,
34,,"Take the last letters of each words in ""Billie Paloma Tanner Raul"" and concatenate them.",earl,TEXT,,,
35,,"Take the last letters of each words in ""Erwin Chad Margarito Shanna"" and concatenate them.",ndoa,TEXT,,,
36,,"Take the last letters of each words in ""Paris Jimmie Andrew Ramón"" and concatenate them.",sewn,TEXT,,,
37,,"Take the last letters of each words in ""Buddy Violet Johana Tina"" and concatenate them.",ytaa,TEXT,,,
38,,"Take the last letters of each words in ""Lora Alberto Cathy Kara"" and concatenate them.",aoya,TEXT,,,
39,,"Take the last letters of each words in ""Luz Terence Elder Jazmin"" and concatenate them.",zern,TEXT,,,
40,,"Take the last letters of each words in ""Marlen Sonja Anita Dale"" and concatenate them.",naae,TEXT,,,
41,,"Take the last letters of each words in ""Ericka Aly Darius Reed"" and concatenate them.",aysd,TEXT,,,
42,,"Take the last letters of each words in ""Martha Elijah Dominic Tonya"" and concatenate them.",ahca,TEXT,,,
43,,"Take the last letters of each words in ""Yamileth Dane Aron Dee"" and concatenate them.",hene,TEXT,,,
44,,"Take the last letters of each words in ""Kristen Herbert Benny El"" and concatenate them.",ntyl,TEXT,,,
45,,"Take the last letters of each words in ""Liliana Quincy Bart Makayla"" and concatenate them.",ayta,TEXT,,,
46,,"Take the last letters of each words in ""María Fredy Bridgette Kenya"" and concatenate them.",ayea,TEXT,,,
47,,"Take the last letters of each words in ""Alexander Marina Valentina Mila"" and concatenate them.",raaa,TEXT,,,
48,,"Take the last letters of each words in ""Maxwell Jose Beto Joe"" and concatenate them.",leoe,TEXT,,,
49,,"Take the last letters of each words in ""Carmelo Tony Susan Sara"" and concatenate them.",oyna,TEXT,,,
50,,"Take the last letters of each words in ""Angeles Richard Luciana Darlene"" and concatenate them.",sdae,TEXT,,,
51,,"Take the last letters of each words in ""Phillip Ajay Janie Augusto"" and concatenate them.",pyeo,TEXT,,,
52,,"Take the last letters of each words in ""Andy Cecilia Gretchen Sandi"" and concatenate them.",yani,TEXT,,,
53,,"Take the last letters of each words in ""Pedro Leopoldo Tee Mar"" and concatenate them.",ooer,TEXT,,,
54,,"Take the last letters of each words in ""Pauline Kerry Jeannette Hope"" and concatenate them.",eyee,TEXT,,,
55,,"Take the last letters of each words in ""Daniella Dianne Ram Mirian"" and concatenate them.",aemn,TEXT,,,
56,,"Take the last letters of each words in ""Natalie Gilbert Brian Sanchez"" and concatenate them.",etnz,TEXT,,,
57,,"Take the last letters of each words in ""Jorge Luis Mo Alexia Jerry"" and concatenate them.",soay,TEXT,,,
58,,"Take the last letters of each words in ""Donnie Alli Terry Krystal"" and concatenate them.",eiyl,TEXT,,,
59,,"Take the last letters of each words in ""Guillermo Gerry Lizbeth Charly"" and concatenate them.",oyhy,TEXT,,,
60,,"Take the last letters of each words in ""Issa Kendra Ignacio Henry"" and concatenate them.",aaoy,TEXT,,,
61,,"Take the last letters of each words in ""Bob Aman Richie Sana"" and concatenate them.",bnea,TEXT,,,
62,,"Take the last letters of each words in ""Hazel Gabrielle Tre Dalton"" and concatenate them.",leen,TEXT,,,
63,,"Take the last letters of each words in ""Carissa Paige Consuelo Izzy"" and concatenate them.",aeoy,TEXT,,,
64,,"Take the last letters of each words in ""Jon Heath Reynaldo Catherine"" and concatenate them.",nhoe,TEXT,,,
65,,"Take the last letters of each words in ""Evelyn Mason Shelby Aldo"" and concatenate them.",nnyo,TEXT,,,
66,,"Take the last letters of each words in ""Alexandria Meghan Autumn Robert"" and concatenate them.",annt,TEXT,,,
67,,"Take the last letters of each words in ""Angela Krista Cora Denisse"" and concatenate them.",aaae,TEXT,,,
68,,"Take the last letters of each words in ""Juliet Ricardo Tita Dianna"" and concatenate them.",toaa,TEXT,,,
69,,"Take the last letters of each words in ""Arthur Shan Norman Manny"" and concatenate them.",rnny,TEXT,,,
70,,"Take the last letters of each words in ""Dustin Luiz Rolando Connor"" and concatenate them.",nzor,TEXT,,,
71,,"Take the last letters of each words in ""Madeline Mckenzie Louie Dylan"" and concatenate them.",eeen,TEXT,,,
72,,"Take the last letters of each words in ""Jeremy Simone Alondra Wyatt"" and concatenate them.",yeat,TEXT,,,
73,,"Take the last letters of each words in ""Melody Ramiro Humberto Jacob"" and concatenate them.",yoob,TEXT,,,
74,,"Take the last letters of each words in ""Ruben Bernardo Ariel Shelley"" and concatenate them.",noly,TEXT,,,
75,,"Take the last letters of each words in ""Russell Mitchell Bee Faith"" and concatenate them.",lleh,TEXT,,,
76,,"Take the last letters of each words in ""Salma Pj Gladis Monica"" and concatenate them.",ajsa,TEXT,,,
77,,"Take the last letters of each words in ""Miranda Jacques Clarence Chandra"" and concatenate them.",asea,TEXT,,,
78,,"Take the last letters of each words in ""Janice Shelly Arnulfo Nestor"" and concatenate them.",eyor,TEXT,,,
79,,"Take the last letters of each words in ""Johan Damien Serena Grace"" and concatenate them.",nnae,TEXT,,,
80,,"Take the last letters of each words in ""Arnold Aidan Ally Ami"" and concatenate them.",dnyi,TEXT,,,
81,,"Take the last letters of each words in ""Rohan Antoinette Nikki Aida"" and concatenate them.",neia,TEXT,,,
82,,"Take the last letters of each words in ""Scotty Edgar Hanna Austin"" and concatenate them.",yran,TEXT,,,
83,,"Take the last letters of each words in ""Katia Mina Cam Ronda"" and concatenate them.",aama,TEXT,,,
84,,"Take the last letters of each words in ""Kennedy Ginny Iliana Sky"" and concatenate them.",yyay,TEXT,,,
85,,"Take the last letters of each words in ""Sophie Gregorio Avery Pooja"" and concatenate them.",eoya,TEXT,,,
86,,"Take the last letters of each words in ""Dave Ernesto Liam Marsha"" and concatenate them.",eoma,TEXT,,,
87,,"Take the last letters of each words in ""Kristine Van Marisol Preston"" and concatenate them.",enln,TEXT,,,
88,,"Take the last letters of each words in ""Alexa Pilar Rod Nicola"" and concatenate them.",arda,TEXT,,,
89,,"Take the last letters of each words in ""Todd Joni Gil Fran"" and concatenate them.",diln,TEXT,,,
90,,"Take the last letters of each words in ""Yan Eunice Joseph Hugh"" and concatenate them.",nehh,TEXT,,,
91,,"Take the last letters of each words in ""Elizabeth Mitch Brooke Jordyn"" and concatenate them.",hhen,TEXT,,,
92,,"Take the last letters of each words in ""Bailey Lourdes Brianna Martín"" and concatenate them.",ysan,TEXT,,,
93,,"Take the last letters of each words in ""Wally Claire Helen Nacho"" and concatenate them.",yeno,TEXT,,,
94,,"Take the last letters of each words in ""Cat Alisha Ramon Norberto"" and concatenate them.",tano,TEXT,,,
95,,"Take the last letters of each words in ""Miguel Angel Saul Brady Darryl"" and concatenate them.",llyl,TEXT,,,
96,,"Take the last letters of each words in ""Debi Raymond Luis Federico"" and concatenate them.",idso,TEXT,,,
97,,"Take the last letters of each words in ""Denny Carlo Reinaldo Jessi"" and concatenate them.",yooi,TEXT,,,
98,,"Take the last letters of each words in ""Yvonne Rafaela Jb Salomon"" and concatenate them.",eabn,TEXT,,,
99,,"Take the last letters of each words in ""Agnes Adrienne Haley Riley"" and concatenate them.",seyy,TEXT,,,
100,,"Take the last letters of each words in ""Oscar George Sanjay Haydee"" and concatenate them.",reye,TEXT,,,
101,,"Take the last letters of each words in ""Eugenio Moises Marion Kirk"" and concatenate them.",osnk,TEXT,,,
102,,"Take the last letters of each words in ""Lara Greg Ethan Terrence"" and concatenate them.",agne,TEXT,,,
103,,"Take the last letters of each words in ""Charity Svetlana Jamie Jose A"" and concatenate them.",yaeA,TEXT,,,
104,,"Take the last letters of each words in ""Tristan Marleny Santiago Viviana"" and concatenate them.",nyoa,TEXT,,,
105,,"Take the last letters of each words in ""Theo Sheila Mariana Esmeralda"" and concatenate them.",oaaa,TEXT,,,
106,,"Take the last letters of each words in ""Tucker Daniel Hernandez Alison"" and concatenate them.",rlzn,TEXT,,,
107,,"Take the last letters of each words in ""Charmaine Vic Homero Jeanine"" and concatenate them.",ecoe,TEXT,,,
108,,"Take the last letters of each words in ""Dan Ruth Xavier Isidro"" and concatenate them.",nhro,TEXT,,,
109,,"Take the last letters of each words in ""Amparo Gianna Dion Tessa"" and concatenate them.",oana,TEXT,,,
110,,"Take the last letters of each words in ""Boris Sabina Kaitlyn Cameron"" and concatenate them.",sann,TEXT,,,
111,,"Take the last letters of each words in ""Bill Santos Roxy Randi"" and concatenate them.",lsyi,TEXT,,,
112,,"Take the last letters of each words in ""Silvia Carolina Stan Chuck"" and concatenate them.",aank,TEXT,,,
113,,"Take the last letters of each words in ""Larissa Shawna Alma Paulette"" and concatenate them.",aaae,TEXT,,,
114,,"Take the last letters of each words in ""Delia Kathleen Mateo Marvin"" and concatenate them.",anon,TEXT,,,
115,,"Take the last letters of each words in ""Cristian Nik Gwen Josiah"" and concatenate them.",nknh,TEXT,,,
116,,"Take the last letters of each words in ""Lalo Yolanda Elida Ester"" and concatenate them.",oaar,TEXT,,,
117,,"Take the last letters of each words in ""Tere Niko Keith Conner"" and concatenate them.",eohr,TEXT,,,
118,,"Take the last letters of each words in ""Blake Hunter Lou Spencer"" and concatenate them.",erur,TEXT,,,
119,,"Take the last letters of each words in ""Deon Lane Everett Lindsay"" and concatenate them.",nety,TEXT,,,
120,,"Take the last letters of each words in ""Marco Antonio Suzette Roland Isabel"" and concatenate them.",oedl,TEXT,,,
121,,"Take the last letters of each words in ""Corey Elvin Tino Melvin"" and concatenate them.",ynon,TEXT,,,
122,,"Take the last letters of each words in ""Darwin Colin Cj Abhishek"" and concatenate them.",nnjk,TEXT,,,
123,,"Take the last letters of each words in ""Mario Pierre Amit Nelson"" and concatenate them.",oetn,TEXT,,,
124,,"Take the last letters of each words in ""April Molly Maurice Jaclyn"" and concatenate them.",lyen,TEXT,,,
125,,"Take the last letters of each words in ""Edwin Lovely Curt Damon"" and concatenate them.",nytn,TEXT,,,
126,,"Take the last letters of each words in ""Beatriz Gillian Coco Vivian"" and concatenate them.",znon,TEXT,,,
127,,"Take the last letters of each words in ""Cristobal Dania Li Anna"" and concatenate them.",laia,TEXT,,,
128,,"Take the last letters of each words in ""Noah Aubrey Cesar Eliana"" and concatenate them.",hyra,TEXT,,,
129,,"Take the last letters of each words in ""Sid Isabelle Jackson Heidy"" and concatenate them.",deny,TEXT,,,
130,,"Take the last letters of each words in ""Dalila Emily Casey Clifford"" and concatenate them.",ayyd,TEXT,,,
131,,"Take the last letters of each words in ""Isela Leslie Stacy Ingrid"" and concatenate them.",aeyd,TEXT,,,
132,,"Take the last letters of each words in ""Jae Dennis Cris Bernadette"" and concatenate them.",esse,TEXT,,,
133,,"Take the last letters of each words in ""Hank Janine Frankie Isa"" and concatenate them.",keea,TEXT,,,
134,,"Take the last letters of each words in ""Lesley Luna Nadia Adriana"" and concatenate them.",yaaa,TEXT,,,
135,,"Take the last letters of each words in ""Bethany Rakesh Christine Dinesh"" and concatenate them.",yheh,TEXT,,,
136,,"Take the last letters of each words in ""Skylar Chrissy Misty Kike"" and concatenate them.",ryye,TEXT,,,
137,,"Take the last letters of each words in ""Rosario Manoj Adolfo Reina"" and concatenate them.",ojoa,TEXT,,,
138,,"Take the last letters of each words in ""Christina Edna Ileana Lynette"" and concatenate them.",aaae,TEXT,,,
139,,"Take the last letters of each words in ""Emanuel Cheyenne Perez Yvette"" and concatenate them.",leze,TEXT,,,
140,,"Take the last letters of each words in ""Yessenia Geraldine Minerva Tanya"" and concatenate them.",aeaa,TEXT,,,
141,,"Take the last letters of each words in ""Jr Meredith Zoe Robby"" and concatenate them.",rhey,TEXT,,,
142,,"Take the last letters of each words in ""Michel Roy Sergey Jessie"" and concatenate them.",lyye,TEXT,,,
143,,"Take the last letters of each words in ""Noelle Byron Jane Darin"" and concatenate them.",enen,TEXT,,,
144,,"Take the last letters of each words in ""Hayden Maya Zack Roberto"" and concatenate them.",nako,TEXT,,,
145,,"Take the last letters of each words in ""Kristi Eduardo Angelo Clare"" and concatenate them.",iooe,TEXT,,,
146,,"Take the last letters of each words in ""Dino Toby Abigail Manuela"" and concatenate them.",oyla,TEXT,,,
147,,"Take the last letters of each words in ""Ángel Carlton Sameer Martinez"" and concatenate them.",lnrz,TEXT,,,
148,,"Take the last letters of each words in ""Sterling Jenifer Patsy Denise"" and concatenate them.",grye,TEXT,,,
149,,"Take the last letters of each words in ""Ashish Tracey Varun Emil"" and concatenate them.",hynl,TEXT,,,
150,,"Take the last letters of each words in ""Isaac Reyes Carly Tania"" and concatenate them.",csya,TEXT,,,
